station,window_scale,start_idx,end_idx,start_time,end_time,pc1,pc2
4804126,12,48,59,2025-01-03 08:00:00,2025-01-03 19:00:00,-0.8378994823980003,0.015012588390645058
4804126,12,60,71,2025-01-03 20:00:00,2025-01-04 07:00:00,-0.8257631120616038,0.0019716777455658537
4804126,12,72,83,2025-01-04 08:00:00,2025-01-04 19:00:00,-0.7494994323459281,-0.07964210077298649
4804126,12,84,95,2025-01-04 20:00:00,2025-01-05 07:00:00,-0.8196464845954746,-0.0045746244066034135
4804126,12,96,107,2025-01-05 08:00:00,2025-01-05 19:00:00,-0.6807154754943221,-0.15326379410460875
4804126,12,108,119,2025-01-05 20:00:00,2025-01-06 07:00:00,-0.8233025298320502,-0.000602029513212112
4804126,12,120,131,2025-01-06 08:00:00,2025-01-06 19:00:00,-0.8041733572524671,-0.02105777902264075
4804126,12,132,143,2025-01-06 20:00:00,2025-01-07 07:00:00,-0.8015699361964552,-0.023873146255724564
4804126,12,144,155,2025-01-07 08:00:00,2025-01-07 19:00:00,-0.8272068018331787,0.0035907001849902927
4804126,12,156,167,2025-01-07 20:00:00,2025-01-08 07:00:00,-0.8587991960207751,0.03733963961509415
4804126,12,168,179,2025-01-08 08:00:00,2025-01-08 19:00:00,-0.7705736001346926,-0.05711046079829344
4804126,12,180,191,2025-01-08 20:00:00,2025-01-09 07:00:00,-0.7615666466903221,-0.06674008842991296
4804126,12,192,203,2025-01-09 08:00:00,2025-01-09 19:00:00,-0.7190214205270828,-0.11222756533115294
4804126,12,204,215,2025-01-09 20:00:00,2025-01-10 07:00:00,-0.8030246705469587,-0.022290410066932415
4804126,12,216,227,2025-01-10 08:00:00,2025-01-10 19:00:00,-0.7516621347182457,-0.0772764702414556
4804126,12,228,239,2025-01-10 20:00:00,2025-01-11 07:00:00,-0.837982238394174,0.015096197435394608
4804126,12,240,251,2025-01-11 08:00:00,2025-01-11 19:00:00,-0.7993042443518997,-0.026287384198441264
4804126,12,252,263,2025-01-11 20:00:00,2025-01-12 07:00:00,-0.8206214926689559,-0.0035247257411503245
4804126,12,264,275,2025-01-12 08:00:00,2025-01-12 19:00:00,-0.6166058086858617,-0.22190758024165771
4804126,12,276,287,2025-01-12 20:00:00,2025-01-13 07:00:00,-0.8512617449350849,0.029318893607718638
4804126,12,288,299,2025-01-13 08:00:00,2025-01-13 19:00:00,-0.7026558495096815,-0.12976702103049584
4804126,12,300,311,2025-01-13 20:00:00,2025-01-14 07:00:00,-0.8225316739462308,-0.0014258796847395026
4804126,12,312,323,2025-01-14 08:00:00,2025-01-14 19:00:00,-0.8134670368928596,-0.011109779328806189
4804126,12,324,335,2025-01-14 20:00:00,2025-01-15 07:00:00,-0.8333627430171763,0.010194771940709696
4804126,12,336,347,2025-01-15 08:00:00,2025-01-15 19:00:00,-0.8069922658687326,-0.018033806756700604
4804126,12,348,359,2025-01-15 20:00:00,2025-01-16 07:00:00,-0.8579000659439115,0.036467909499395185
4804126,12,360,371,2025-01-16 08:00:00,2025-01-16 19:00:00,-0.7683266726888401,-0.059433691141888824
4804126,12,372,383,2025-01-16 20:00:00,2025-01-17 07:00:00,-0.8314434204468087,0.008104314339750285
4804126,12,384,395,2025-01-17 08:00:00,2025-01-17 19:00:00,-0.7466268604665554,-0.08270249865705608
4804126,12,396,407,2025-01-17 20:00:00,2025-01-18 07:00:00,-0.8463809165170247,0.024055719751645804
4804126,12,408,419,2025-01-18 08:00:00,2025-01-18 19:00:00,-0.8317641882373185,0.008410307928634592
4804126,12,420,431,2025-01-18 20:00:00,2025-01-19 07:00:00,-0.7977065819359573,-0.028082653202738842
4804126,12,432,443,2025-01-19 08:00:00,2025-01-19 19:00:00,-0.7825407243814534,-0.04429493485761119
4804126,12,444,455,2025-01-19 20:00:00,2025-01-20 07:00:00,-0.8605127459584114,0.03915634158639388
4804126,12,456,467,2025-01-20 08:00:00,2025-01-20 19:00:00,-0.7343152238144621,-0.09593924542927698
4804126,12,468,479,2025-01-20 20:00:00,2025-01-21 07:00:00,-0.8020770330632466,-0.02338726998643395
4804126,12,480,491,2025-01-21 08:00:00,2025-01-21 19:00:00,-0.7608381951167006,-0.06750963133108782
4804126,12,492,503,2025-01-21 20:00:00,2025-01-22 07:00:00,-0.8476339659044828,0.025398655628041993
4804126,12,504,515,2025-01-22 08:00:00,2025-01-22 19:00:00,-0.7837298353459595,-0.0430375572070689
4804126,12,516,527,2025-01-22 20:00:00,2025-01-23 07:00:00,-0.7947466372602947,-0.031218773384876834
4804126,12,528,539,2025-01-23 08:00:00,2025-01-23 19:00:00,-0.6699950453573444,-0.16474211898430038
4804126,12,540,551,2025-01-23 20:00:00,2025-01-24 07:00:00,-0.8501801627910944,0.028144205876815487
4804126,12,552,563,2025-01-24 08:00:00,2025-01-24 19:00:00,-0.6292051881979903,-0.2083916432732072
4804126,12,564,575,2025-01-24 20:00:00,2025-01-25 07:00:00,-0.8320137855795974,0.008727062024120935
