station,window_scale,start_idx,end_idx,start_time,end_time,latent_pc1,latent_pc2
4101871,72,87,158,2025-01-21 08:00:00,2025-01-24 07:00:00,-0.5949346,0.4597031
4101871,72,90,161,2025-01-21 11:00:00,2025-01-24 10:00:00,-0.57896745,0.43606696
4101871,72,93,164,2025-01-21 14:00:00,2025-01-24 13:00:00,-0.6179708,0.5020528
4101871,72,96,167,2025-01-21 17:00:00,2025-01-24 16:00:00,-0.60702133,0.47988144
4101871,72,99,170,2025-01-21 20:00:00,2025-01-24 19:00:00,-0.5513082,0.45838058
4101871,72,102,173,2025-01-21 23:00:00,2025-01-24 22:00:00,-0.5535561,0.4460199
4101871,72,105,176,2025-01-22 02:00:00,2025-01-25 01:00:00,-0.5945488,0.46524405
4101871,72,108,179,2025-01-22 05:00:00,2025-01-25 04:00:00,-0.5606928,0.4462507
4101871,72,111,182,2025-01-22 08:00:00,2025-01-25 07:00:00,-0.56818205,0.44488394
4101871,72,114,185,2025-01-22 11:00:00,2025-01-25 10:00:00,-0.5545912,0.40079758
4101871,72,117,188,2025-01-22 14:00:00,2025-01-25 13:00:00,-0.56308633,0.42832035
4101871,72,120,191,2025-01-22 17:00:00,2025-01-25 16:00:00,-0.60161656,0.4748159
4101871,72,123,194,2025-01-22 20:00:00,2025-01-25 19:00:00,-0.6194044,0.49748
4101871,72,126,197,2025-01-22 23:00:00,2025-01-25 22:00:00,-0.59897834,0.47957927
4101871,72,129,200,2025-01-23 02:00:00,2025-01-26 01:00:00,-0.6005749,0.47095335
4101871,72,132,203,2025-01-23 05:00:00,2025-01-26 04:00:00,-0.6145149,0.50456935
4101871,72,135,206,2025-01-23 08:00:00,2025-01-26 07:00:00,-0.60085577,0.47060844
4101871,72,138,209,2025-01-23 11:00:00,2025-01-26 10:00:00,-0.60012573,0.41876483
4101871,72,141,212,2025-01-23 14:00:00,2025-01-26 13:00:00,-0.7142383,0.3001005
4101871,72,144,215,2025-01-23 17:00:00,2025-01-26 16:00:00,-0.6890624,0.34843245
4101871,72,147,218,2025-01-23 20:00:00,2025-01-26 19:00:00,-0.6608083,0.40085942
4101871,72,150,221,2025-01-23 23:00:00,2025-01-26 22:00:00,-0.70423895,0.3404558
4101871,72,153,224,2025-01-24 02:00:00,2025-01-27 01:00:00,-0.7457231,0.35346305
4101871,72,156,227,2025-01-24 05:00:00,2025-01-27 04:00:00,-0.63253105,0.482277
4101871,72,159,230,2025-01-24 08:00:00,2025-01-27 07:00:00,-0.5968223,0.46810475
4101871,72,162,233,2025-01-24 11:00:00,2025-01-27 10:00:00,-0.6516997,0.41896814
4101871,72,165,236,2025-01-24 14:00:00,2025-01-27 13:00:00,-0.6294783,0.34472096
4101871,72,168,239,2025-01-24 17:00:00,2025-01-27 16:00:00,-0.70546687,0.45746413
4101871,72,171,242,2025-01-24 20:00:00,2025-01-27 19:00:00,-0.65281606,0.47035354
4101871,72,174,245,2025-01-24 23:00:00,2025-01-27 22:00:00,-0.74828905,0.37982133
4101871,72,177,248,2025-01-25 02:00:00,2025-01-28 01:00:00,-0.734264,0.38807467
4101871,72,180,251,2025-01-25 05:00:00,2025-01-28 04:00:00,-0.6505312,0.46660143
4101871,72,183,254,2025-01-25 08:00:00,2025-01-28 07:00:00,-0.60470504,0.49063396
4101871,72,186,257,2025-01-25 11:00:00,2025-01-28 10:00:00,-0.6426069,0.416462
4101871,72,189,260,2025-01-25 14:00:00,2025-01-28 13:00:00,-0.7073615,0.4426278
4101871,72,192,263,2025-01-25 17:00:00,2025-01-28 16:00:00,-0.6441323,0.5050909
4101871,72,195,266,2025-01-25 20:00:00,2025-01-28 19:00:00,-0.6088837,0.520411
4101871,72,198,269,2025-01-25 23:00:00,2025-01-28 22:00:00,-0.6052464,0.5332312
4101871,72,201,272,2025-01-26 02:00:00,2025-01-29 01:00:00,-0.657077,0.46582446
4101871,72,204,275,2025-01-26 05:00:00,2025-01-29 04:00:00,-0.5797763,0.48011705
4101871,72,207,278,2025-01-26 08:00:00,2025-01-29 07:00:00,-0.6334848,0.48297197
4101871,72,210,281,2025-01-26 11:00:00,2025-01-29 10:00:00,-0.64743185,0.42442355
4101871,72,213,284,2025-01-26 14:00:00,2025-01-29 13:00:00,-0.8256871,0.2622696
4101871,72,216,287,2025-01-26 17:00:00,2025-01-29 16:00:00,-0.6437675,0.3771487
4101871,72,219,290,2025-01-26 20:00:00,2025-01-29 19:00:00,-0.5922336,0.47930712
4101871,72,222,293,2025-01-26 23:00:00,2025-01-29 22:00:00,-0.61535805,0.4588057
4101871,72,225,296,2025-01-27 02:00:00,2025-01-30 01:00:00,-0.6784516,0.35356858
4101871,72,228,299,2025-01-27 05:00:00,2025-01-30 04:00:00,-0.6787107,0.39090735
4101871,72,231,302,2025-01-27 08:00:00,2025-01-30 07:00:00,-0.6179628,0.45203418
4101871,72,234,305,2025-01-27 11:00:00,2025-01-30 10:00:00,-0.72746825,0.32863683
4101871,72,237,308,2025-01-27 14:00:00,2025-01-30 13:00:00,-0.76214606,0.207893
4101871,72,240,311,2025-01-27 17:00:00,2025-01-30 16:00:00,-0.564358,0.27652237
4101871,72,243,314,2025-01-27 20:00:00,2025-01-30 19:00:00,-0.5775952,0.42699304
4101871,72,246,317,2025-01-27 23:00:00,2025-01-30 22:00:00,-0.5858423,0.3332331
4101871,72,249,320,2025-01-28 02:00:00,2025-01-31 01:00:00,-0.76287115,0.2386295
4101871,72,252,323,2025-01-28 05:00:00,2025-01-31 04:00:00,-0.59557897,0.325357
4101871,72,255,326,2025-01-28 08:00:00,2025-01-31 07:00:00,-0.5606033,0.38060698
4101871,72,258,329,2025-01-28 11:00:00,2025-01-31 10:00:00,-0.55909663,0.32068568
4101871,72,261,332,2025-01-28 14:00:00,2025-01-31 13:00:00,-0.61061907,0.051420167
4101871,72,264,335,2025-01-28 17:00:00,2025-01-31 16:00:00,-0.56256086,0.17843021
4101871,72,267,338,2025-01-28 20:00:00,2025-01-31 19:00:00,-0.541113,0.29693112
4101871,72,270,341,2025-01-28 23:00:00,2025-01-31 22:00:00,-0.6095496,0.2373566
4101872,6,0,5,2025-01-12 08:00:00,2025-01-12 13:00:00,-0.0452277,-1.1603531
4101872,6,3,8,2025-01-12 11:00:00,2025-01-12 16:00:00,-0.0891536,-1.3358831
4101872,6,6,11,2025-01-12 14:00:00,2025-01-12 19:00:00,-0.10527509,-0.86712074
4101872,6,9,14,2025-01-12 17:00:00,2025-01-12 22:00:00,-0.14707874,-1.2796987
4101872,6,12,17,2025-01-12 20:00:00,2025-01-13 01:00:00,-0.08246257,-0.6966564
4101872,6,15,20,2025-01-12 23:00:00,2025-01-13 04:00:00,-0.071018934,-0.6450924
4101872,6,18,23,2025-01-13 02:00:00,2025-01-13 07:00:00,-0.13347499,-1.0755839
4101872,6,21,26,2025-01-13 05:00:00,2025-01-13 10:00:00,-0.13691188,-1.0246798
4101872,6,24,29,2025-01-13 08:00:00,2025-01-13 13:00:00,-0.06892461,-0.8637254
4101872,6,27,32,2025-01-13 11:00:00,2025-01-13 16:00:00,-0.0732088,-0.8409508
4101872,6,30,35,2025-01-13 14:00:00,2025-01-13 19:00:00,-0.10524299,-0.7313714
4101872,6,33,38,2025-01-13 17:00:00,2025-01-13 22:00:00,-0.14469318,-1.2017837
4101872,6,36,41,2025-01-13 20:00:00,2025-01-14 01:00:00,-0.085214905,-0.6775071
4101872,6,39,44,2025-01-13 23:00:00,2025-01-14 04:00:00,-0.08277484,-0.6126109
4101872,6,42,47,2025-01-14 02:00:00,2025-01-14 07:00:00,-0.12571003,-0.990266
4101872,6,45,50,2025-01-14 05:00:00,2025-01-14 10:00:00,-0.13845971,-1.0760261
4101872,6,48,53,2025-01-14 08:00:00,2025-01-14 13:00:00,-0.08146507,-0.692234
4101872,6,51,56,2025-01-14 11:00:00,2025-01-14 16:00:00,-0.08406629,-0.73563015
4101872,6,54,59,2025-01-14 14:00:00,2025-01-14 19:00:00,-0.10845071,-0.6665784
4101872,6,57,62,2025-01-14 17:00:00,2025-01-14 22:00:00,-0.1273468,-1.0249431
4101872,6,60,65,2025-01-14 20:00:00,2025-01-15 01:00:00,-0.091800414,-0.6811993
4101872,6,63,68,2025-01-14 23:00:00,2025-01-15 04:00:00,-0.089819424,-0.60573846
4101872,6,66,71,2025-01-15 02:00:00,2025-01-15 07:00:00,-0.120056845,-0.755684
4101872,6,69,74,2025-01-15 05:00:00,2025-01-15 10:00:00,-0.13158092,-0.96949816
4101872,6,72,77,2025-01-15 08:00:00,2025-01-15 13:00:00,-0.07865062,-0.72501576
4101872,6,75,80,2025-01-15 11:00:00,2025-01-15 16:00:00,-0.089639336,-0.6101087
4101872,6,78,83,2025-01-15 14:00:00,2025-01-15 19:00:00,-0.117894664,-0.6647375
